Commodity,Date,Unit,Minimum,Maximum,Average
Fish Fresh(Rahu),2020-07-29,KG,325.0,330.0,327.5
Fish Fresh(Bachuwa),2020-07-29,KG,225.0,230.0,227.5
Fish Fresh(Chhadi),2020-07-29,KG,215.0,220.0,217.5
Fish Fresh(Mungari),2020-07-29,KG,225.0,230.0,227.5
Tomato Small(Local),2020-07-30,Kg,45.0,50.0,47.5
Tomato Small(Tunnel),2020-07-30,Kg,56.0,64.0,60.0
Potato Red,2020-07-30,Kg,68.0,70.0,69.0
Potato Red(Indian),2020-07-30,KG,53.0,55.0,54.0
Potato Red(Mude),2020-07-30,Kg,58.0,60.0,59.0
Onion Dry (Indian),2020-07-30,Kg,31.0,33.0,32.0
Carrot(Local),2020-07-30,Kg,75.0,80.0,77.5
Cabbage(Local),2020-07-30,Kg,25.0,30.0,27.5
Cauli Local,2020-07-30,Kg,110.0,120.0,115.0
Raddish White(Local),2020-07-30,Kg,40.0,50.0,45.0
Raddish White(Hybrid),2020-07-30,Kg,40.0,50.0,45.0
Brinjal Long,2020-07-30,Kg,75.0,80.0,77.5
Cow pea(Long),2020-07-30,Kg,80.0,90.0,85.0
French Bean(Local),2020-07-30,Kg,90.0,100.0,95.0
French Bean(Hybrid),2020-07-30,Kg,95.0,100.0,97.5
Soyabean Green,2020-07-30,Kg,80.0,90.0,85.0
Pointed Gourd(Local),2020-07-30,Kg,95.0,100.0,97.5
Snake Gourd,2020-07-30,Kg,45.0,50.0,47.5
Smooth Gourd,2020-07-30,Kg,50.0,60.0,55.0
Sponge Gourd,2020-07-30,Kg,90.0,100.0,95.0
Pumpkin,2020-07-30,Kg,30.0,35.0,32.5
Squash(Round),2020-07-30,Kg,50.0,60.0,55.0
Okara,2020-07-30,Kg,60.0,70.0,65.0
Christophine,2020-07-30,Kg,70.0,80.0,75.0
Brd Leaf Mustard,2020-07-30,Kg,70.0,80.0,75.0
Spinach Leaf,2020-07-30,Kg,70.0,80.0,75.0
Cress Leaf,2020-07-30,Kg,70.0,80.0,75.0
Onion Green,2020-07-30,Kg,110.0,120.0,115.0
Mushroom(Kanya),2020-07-30,Kg,200.0,220.0,210.0
Mushroom(Button),2020-07-30,KG,480.0,490.0,485.0
Asparagus,2020-07-30,Kg,240.0,250.0,245.0
Neuro,2020-07-30,Kg,100.0,110.0,105.0
Sugarbeet,2020-07-30,Kg,50.0,60.0,55.0
Mint,2020-07-30,Kg,80.0,90.0,85.0
Turnip A,2020-07-30,Kg,70.0,80.0,75.0
Tamarind,2020-07-30,Kg,130.0,140.0,135.0
Bamboo Shoot,2020-07-30,Kg,110.0,120.0,115.0
Tofu,2020-07-30,Kg,90.0,100.0,95.0
Gundruk,2020-07-30,Kg,290.0,300.0,295.0
Apple(Jholey),2020-07-30,Kg,90.0,100.0,95.0
Apple(Fuji),2020-07-30,KG,140.0,150.0,145.0
Banana,2020-07-30,Doz,70.0,80.0,75.0
Lime,2020-07-30,Kg,90.0,100.0,95.0
Pomegranate,2020-07-30,Kg,180.0,190.0,185.0
Mango(Maldah),2020-07-30,Kg,110.0,120.0,115.0
Water Melon(Green),2020-07-30,Kg,40.0,45.0,42.5
Pineapple,2020-07-30,1 Pc,110.0,120.0,115.0
Cucumber(Local),2020-07-30,Kg,40.0,50.0,45.0
Cucumber(Hybrid),2020-07-30,KG,15.0,20.0,17.5
Jack Fruit,2020-07-30,Kg,35.0,40.0,37.5
Papaya(Indian),2020-07-30,Kg,70.0,80.0,75.0
Ginger,2020-07-30,Kg,130.0,140.0,135.0
Chilli Dry,2020-07-30,Kg,290.0,300.0,295.0
Chilli Green,2020-07-30,Kg,40.0,45.0,42.5
Chilli Green(Bullet),2020-07-30,KG,40.0,45.0,42.5
Chilli Green(Machhe),2020-07-30,KG,90.0,100.0,95.0
Chilli Green(Akbare),2020-07-30,KG,250.0,260.0,255.0
Capsicum,2020-07-30,Kg,110.0,120.0,115.0
Garlic Green,2020-07-30,Kg,120.0,130.0,125.0
Coriander Green,2020-07-30,Kg,350.0,360.0,355.0
Garlic Dry Chinese,2020-07-30,Kg,210.0,220.0,215.0
Garlic Dry Nepali,2020-07-30,Kg,170.0,180.0,175.0
Fish Fresh(Rahu),2020-07-30,KG,325.0,330.0,327.5
Fish Fresh(Bachuwa),2020-07-30,KG,225.0,230.0,227.5
Fish Fresh(Chhadi),2020-07-30,KG,215.0,220.0,217.5
Fish Fresh(Mungari),2020-07-30,KG,225.0,230.0,227.5
Tomato Small(Local),2020-07-31,Kg,45.0,50.0,47.5
Tomato Small(Tunnel),2020-07-31,Kg,56.0,65.0,60.5
Potato Red,2020-07-31,Kg,66.0,68.0,67.0
Potato Red(Indian),2020-07-31,KG,53.0,55.0,54.0
Potato Red(Mude),2020-07-31,Kg,53.0,55.0,54.0
Onion Dry (Indian),2020-07-31,Kg,31.0,33.0,32.0
Carrot(Local),2020-07-31,Kg,75.0,80.0,77.5
Cabbage(Local),2020-07-31,Kg,25.0,30.0,27.5
Cauli Local,2020-07-31,Kg,110.0,120.0,115.0
Raddish White(Local),2020-07-31,Kg,50.0,60.0,55.0
Raddish White(Hybrid),2020-07-31,Kg,50.0,60.0,55.0
Brinjal Long,2020-07-31,Kg,50.0,60.0,55.0
Cow pea(Long),2020-07-31,Kg,90.0,100.0,95.0
French Bean(Local),2020-07-31,Kg,100.0,110.0,105.0
French Bean(Hybrid),2020-07-31,Kg,110.0,120.0,115.0
Soyabean Green,2020-07-31,Kg,100.0,120.0,110.0
Bitter Gourd,2020-07-31,Kg,50.0,60.0,55.0
Pointed Gourd(Local),2020-07-31,Kg,95.0,100.0,97.5
Snake Gourd,2020-07-31,Kg,45.0,50.0,47.5
Smooth Gourd,2020-07-31,Kg,50.0,60.0,55.0
Sponge Gourd,2020-07-31,Kg,50.0,60.0,55.0
Pumpkin,2020-07-31,Kg,40.0,45.0,42.5
Squash(Round),2020-07-31,Kg,50.0,60.0,55.0
Okara,2020-07-31,Kg,65.0,70.0,67.5
Christophine,2020-07-31,Kg,65.0,70.0,67.5
Brd Leaf Mustard,2020-07-31,Kg,70.0,80.0,75.0
Spinach Leaf,2020-07-31,Kg,70.0,80.0,75.0
Cress Leaf,2020-07-31,Kg,70.0,80.0,75.0
Onion Green,2020-07-31,Kg,130.0,140.0,135.0
Mushroom(Kanya),2020-07-31,Kg,110.0,120.0,115.0
Mushroom(Button),2020-07-31,KG,420.0,430.0,425.0
Asparagus,2020-07-31,Kg,440.0,450.0,445.0
Neuro,2020-07-31,Kg,100.0,110.0,105.0
Sugarbeet,2020-07-31,Kg,50.0,60.0,55.0
Lettuce,2020-07-31,Kg,80.0,90.0,85.0
Mint,2020-07-31,Kg,80.0,90.0,85.0
Turnip A,2020-07-31,Kg,70.0,80.0,75.0
Tamarind,2020-07-31,Kg,130.0,140.0,135.0
Bamboo Shoot,2020-07-31,Kg,110.0,120.0,115.0
Tofu,2020-07-31,Kg,90.0,100.0,95.0
Gundruk,2020-07-31,Kg,290.0,300.0,295.0
Apple(Jholey),2020-07-31,Kg,150.0,160.0,155.0
Apple(Fuji),2020-07-31,KG,290.0,300.0,295.0
Banana,2020-07-31,Doz,70.0,80.0,75.0
Lime,2020-07-31,Kg,110.0,120.0,115.0
Pomegranate,2020-07-31,Kg,180.0,190.0,185.0
Pineapple,2020-07-31,1 Pc,100.0,110.0,105.0
Cucumber(Local),2020-07-31,Kg,45.0,55.0,50.0
Cucumber(Hybrid),2020-07-31,KG,15.0,20.0,17.5
Jack Fruit,2020-07-31,Kg,35.0,40.0,37.5
Papaya(Indian),2020-07-31,Kg,70.0,80.0,75.0
Ginger,2020-07-31,Kg,130.0,140.0,135.0
Chilli Dry,2020-07-31,Kg,290.0,300.0,295.0
Chilli Green,2020-07-31,Kg,35.0,40.0,37.5
Chilli Green(Bullet),2020-07-31,KG,35.0,40.0,37.5
Chilli Green(Machhe),2020-07-31,KG,90.0,100.0,95.0
Chilli Green(Akbare),2020-07-31,KG,250.0,260.0,255.0
Capsicum,2020-07-31,Kg,110.0,120.0,115.0
Garlic Green,2020-07-31,Kg,120.0,130.0,125.0
Coriander Green,2020-07-31,Kg,390.0,400.0,395.0
Garlic Dry Chinese,2020-07-31,Kg,210.0,220.0,215.0
Garlic Dry Nepali,2020-07-31,Kg,170.0,180.0,175.0
Fish Fresh(Rahu),2020-07-31,KG,325.0,330.0,327.5
Fish Fresh(Bachuwa),2020-07-31,KG,225.0,230.0,227.5
Fish Fresh(Chhadi),2020-07-31,KG,215.0,220.0,217.5
Fish Fresh(Mungari),2020-07-31,KG,225.0,230.0,227.5
Tomato Small(Local),2020-08-01,Kg,40.0,45.0,42.5
Tomato Small(Tunnel),2020-08-01,Kg,56.0,65.0,60.5
Potato Red,2020-08-01,Kg,66.0,68.0,67.0
Potato Red(Indian),2020-08-01,KG,52.0,54.0,53.0
Potato Red(Mude),2020-08-01,Kg,55.0,57.0,56.0
Onion Dry (Indian),2020-08-01,Kg,31.0,33.0,32.0
Carrot(Local),2020-08-01,Kg,60.0,70.0,65.0
Cabbage(Local),2020-08-01,Kg,25.0,30.0,27.5
Cauli Local,2020-08-01,Kg,110.0,120.0,115.0
Raddish White(Local),2020-08-01,Kg,40.0,50.0,45.0
Raddish White(Hybrid),2020-08-01,Kg,40.0,50.0,45.0
Brinjal Long,2020-08-01,Kg,60.0,70.0,65.0
Cow pea(Long),2020-08-01,Kg,90.0,100.0,95.0
French Bean(Local),2020-08-01,Kg,110.0,120.0,115.0
French Bean(Hybrid),2020-08-01,Kg,110.0,120.0,115.0
Soyabean Green,2020-08-01,Kg,70.0,75.0,72.5
Bitter Gourd,2020-08-01,Kg,50.0,60.0,55.0
Pointed Gourd(Local),2020-08-01,Kg,95.0,100.0,97.5
Snake Gourd,2020-08-01,Kg,45.0,50.0,47.5
Smooth Gourd,2020-08-01,Kg,70.0,75.0,72.5
Sponge Gourd,2020-08-01,Kg,50.0,60.0,55.0
Pumpkin,2020-08-01,Kg,40.0,45.0,42.5
Squash(Round),2020-08-01,Kg,60.0,70.0,65.0
Okara,2020-08-01,Kg,75.0,80.0,77.5
Christophine,2020-08-01,Kg,60.0,70.0,65.0
Brd Leaf Mustard,2020-08-01,Kg,80.0,90.0,85.0
Spinach Leaf,2020-08-01,Kg,80.0,90.0,85.0
Cress Leaf,2020-08-01,Kg,80.0,90.0,85.0
Onion Green,2020-08-01,Kg,140.0,150.0,145.0
Mushroom(Kanya),2020-08-01,Kg,190.0,200.0,195.0
Mushroom(Button),2020-08-01,KG,440.0,450.0,445.0
Asparagus,2020-08-01,Kg,490.0,500.0,495.0
Neuro,2020-08-01,Kg,100.0,110.0,105.0
Sugarbeet,2020-08-01,Kg,50.0,60.0,55.0
Lettuce,2020-08-01,Kg,80.0,90.0,85.0
Mint,2020-08-01,Kg,90.0,100.0,95.0
Turnip A,2020-08-01,Kg,80.0,90.0,85.0
Tamarind,2020-08-01,Kg,130.0,140.0,135.0
Bamboo Shoot,2020-08-01,Kg,110.0,120.0,115.0
Tofu,2020-08-01,Kg,100.0,110.0,105.0
Gundruk,2020-08-01,Kg,290.0,300.0,295.0
Apple(Jholey),2020-08-01,Kg,150.0,160.0,155.0
Apple(Fuji),2020-08-01,KG,290.0,300.0,295.0
Banana,2020-08-01,Doz,70.0,80.0,75.0
Lime,2020-08-01,Kg,140.0,150.0,145.0
Pomegranate,2020-08-01,Kg,180.0,190.0,185.0
Pineapple,2020-08-01,1 Pc,100.0,110.0,105.0
Cucumber(Local),2020-08-01,Kg,40.0,50.0,45.0
Cucumber(Hybrid),2020-08-01,KG,15.0,20.0,17.5
Jack Fruit,2020-08-01,Kg,35.0,40.0,37.5
Pear(Local),2020-08-01,Kg,50.0,60.0,55.0
Papaya(Indian),2020-08-01,Kg,70.0,80.0,75.0
Ginger,2020-08-01,Kg,130.0,140.0,135.0
Chilli Dry,2020-08-01,Kg,290.0,300.0,295.0
Chilli Green,2020-08-01,Kg,40.0,50.0,45.0
Chilli Green(Bullet),2020-08-01,KG,40.0,50.0,45.0
Chilli Green(Machhe),2020-08-01,KG,90.0,100.0,95.0
Chilli Green(Akbare),2020-08-01,KG,260.0,270.0,265.0
Capsicum,2020-08-01,Kg,110.0,120.0,115.0
Garlic Green,2020-08-01,Kg,120.0,130.0,125.0
Coriander Green,2020-08-01,Kg,390.0,400.0,395.0
Garlic Dry Chinese,2020-08-01,Kg,190.0,200.0,195.0
Garlic Dry Nepali,2020-08-01,Kg,150.0,160.0,155.0
Fish Fresh(Rahu),2020-08-01,KG,325.0,330.0,327.5
Fish Fresh(Bachuwa),2020-08-01,KG,225.0,230.0,227.5
Fish Fresh(Chhadi),2020-08-01,KG,215.0,220.0,217.5
Fish Fresh(Mungari),2020-08-01,KG,225.0,230.0,227.5
Tomato Small(Local),2020-08-02,Kg,40.0,45.0,42.5
Tomato Small(Tunnel),2020-08-02,Kg,56.0,65.0,60.5
Potato Red,2020-08-02,Kg,66.0,68.0,67.0
Potato Red(Indian),2020-08-02,KG,51.0,53.0,52.0
Potato Red(Mude),2020-08-02,Kg,53.0,55.0,54.0
Onion Dry (Indian),2020-08-02,Kg,31.0,33.0,32.0
Carrot(Local),2020-08-02,Kg,60.0,70.0,65.0
Cabbage(Local),2020-08-02,Kg,30.0,35.0,32.5
Cauli Local,2020-08-02,Kg,110.0,120.0,115.0
Raddish White(Local),2020-08-02,Kg,50.0,60.0,55.0
Raddish White(Hybrid),2020-08-02,Kg,50.0,60.0,55.0
Brinjal Long,2020-08-02,Kg,60.0,70.0,65.0
Cow pea(Long),2020-08-02,Kg,90.0,100.0,95.0
French Bean(Local),2020-08-02,Kg,110.0,120.0,115.0
French Bean(Hybrid),2020-08-02,Kg,110.0,120.0,115.0
Soyabean Green,2020-08-02,Kg,80.0,90.0,85.0
Bitter Gourd,2020-08-02,Kg,40.0,50.0,45.0
Pointed Gourd(Local),2020-08-02,Kg,110.0,120.0,115.0
Snake Gourd,2020-08-02,Kg,40.0,45.0,42.5
Smooth Gourd,2020-08-02,Kg,70.0,75.0,72.5
Sponge Gourd,2020-08-02,Kg,60.0,70.0,65.0
Pumpkin,2020-08-02,Kg,40.0,45.0,42.5
Squash(Round),2020-08-02,Kg,60.0,70.0,65.0
Okara,2020-08-02,Kg,80.0,90.0,85.0
Christophine,2020-08-02,Kg,60.0,70.0,65.0
Brd Leaf Mustard,2020-08-02,Kg,80.0,90.0,85.0
Spinach Leaf,2020-08-02,Kg,80.0,90.0,85.0
Cress Leaf,2020-08-02,Kg,80.0,90.0,85.0
Onion Green,2020-08-02,Kg,150.0,160.0,155.0
Mushroom(Kanya),2020-08-02,Kg,180.0,190.0,185.0
Mushroom(Button),2020-08-02,KG,440.0,450.0,445.0
Asparagus,2020-08-02,Kg,490.0,500.0,495.0
Neuro,2020-08-02,Kg,100.0,110.0,105.0
Sugarbeet,2020-08-02,Kg,50.0,60.0,55.0
Lettuce,2020-08-02,Kg,80.0,90.0,85.0
Mint,2020-08-02,Kg,90.0,100.0,95.0
Turnip A,2020-08-02,Kg,80.0,90.0,85.0
Tamarind,2020-08-02,Kg,130.0,140.0,135.0
Bamboo Shoot,2020-08-02,Kg,110.0,120.0,115.0
Tofu,2020-08-02,Kg,100.0,110.0,105.0
Gundruk,2020-08-02,Kg,290.0,300.0,295.0
Apple(Jholey),2020-08-02,Kg,150.0,160.0,155.0
Apple(Fuji),2020-08-02,KG,290.0,300.0,295.0
Banana,2020-08-02,Doz,70.0,80.0,75.0
Lime,2020-08-02,Kg,140.0,150.0,145.0
Pomegranate,2020-08-02,Kg,180.0,190.0,185.0
Pineapple,2020-08-02,1 Pc,100.0,110.0,105.0
Cucumber(Local),2020-08-02,Kg,35.0,45.0,40.0
Cucumber(Hybrid),2020-08-02,KG,20.0,25.0,22.5
Jack Fruit,2020-08-02,Kg,35.0,40.0,37.5
Papaya(Indian),2020-08-02,Kg,70.0,80.0,75.0
Ginger,2020-08-02,Kg,130.0,140.0,135.0
Chilli Dry,2020-08-02,Kg,290.0,300.0,295.0
Chilli Green,2020-08-02,Kg,45.0,50.0,47.5
Chilli Green(Bullet),2020-08-02,KG,45.0,50.0,47.5
Chilli Green(Machhe),2020-08-02,KG,90.0,100.0,95.0
Chilli Green(Akbare),2020-08-02,KG,270.0,280.0,275.0
Capsicum,2020-08-02,Kg,110.0,120.0,115.0
Garlic Green,2020-08-02,Kg,130.0,140.0,135.0
Coriander Green,2020-08-02,Kg,350.0,370.0,360.0
Garlic Dry Chinese,2020-08-02,Kg,190.0,200.0,195.0
Garlic Dry Nepali,2020-08-02,Kg,150.0,160.0,155.0
Fish Fresh(Rahu),2020-08-02,KG,325.0,330.0,327.5
Fish Fresh(Bachuwa),2020-08-02,KG,225.0,230.0,227.5
Fish Fresh(Chhadi),2020-08-02,KG,215.0,220.0,217.5
Fish Fresh(Mungari),2020-08-02,KG,225.0,230.0,227.5
Tomato Small(Local),2020-08-03,Kg,45.0,50.0,47.5
Tomato Small(Tunnel),2020-08-03,Kg,55.0,65.0,60.0
Potato Red,2020-08-03,Kg,66.0,68.0,67.0
Potato Red(Indian),2020-08-03,KG,52.0,54.0,53.0
Potato Red(Mude),2020-08-03,Kg,54.0,56.0,55.0
Onion Dry (Indian),2020-08-03,Kg,31.0,33.0,32.0
Carrot(Local),2020-08-03,Kg,60.0,70.0,65.0
Cabbage(Local),2020-08-03,Kg,30.0,35.0,32.5
Cauli Local,2020-08-03,Kg,110.0,120.0,115.0
Raddish White(Local),2020-08-03,Kg,50.0,60.0,55.0
Raddish White(Hybrid),2020-08-03,Kg,50.0,60.0,55.0
Brinjal Long,2020-08-03,Kg,60.0,70.0,65.0
Cow pea(Long),2020-08-03,Kg,95.0,110.0,102.5
French Bean(Local),2020-08-03,Kg,110.0,120.0,115.0
French Bean(Hybrid),2020-08-03,Kg,110.0,120.0,115.0
Soyabean Green,2020-08-03,Kg,60.0,70.0,65.0
Bitter Gourd,2020-08-03,Kg,40.0,50.0,45.0
Bottle Gourd,2020-08-03,Kg,80.0,90.0,85.0
Pointed Gourd(Local),2020-08-03,Kg,110.0,120.0,115.0
Snake Gourd,2020-08-03,Kg,50.0,60.0,55.0
Smooth Gourd,2020-08-03,Kg,60.0,70.0,65.0
Sponge Gourd,2020-08-03,Kg,60.0,70.0,65.0
Pumpkin,2020-08-03,Kg,40.0,45.0,42.5
Squash(Round),2020-08-03,Kg,60.0,70.0,65.0
Okara,2020-08-03,Kg,70.0,80.0,75.0
Christophine,2020-08-03,Kg,60.0,65.0,62.5
Brd Leaf Mustard,2020-08-03,Kg,90.0,100.0,95.0
Spinach Leaf,2020-08-03,Kg,90.0,100.0,95.0
Cress Leaf,2020-08-03,Kg,90.0,100.0,95.0
Mushroom(Kanya),2020-08-03,Kg,190.0,200.0,195.0
Mushroom(Button),2020-08-03,KG,590.0,600.0,595.0
Asparagus,2020-08-03,Kg,490.0,500.0,495.0
Neuro,2020-08-03,Kg,100.0,110.0,105.0
Sugarbeet,2020-08-03,Kg,50.0,60.0,55.0
Lettuce,2020-08-03,Kg,90.0,100.0,95.0
Mint,2020-08-03,Kg,110.0,120.0,115.0
Turnip A,2020-08-03,Kg,90.0,100.0,95.0
Tamarind,2020-08-03,Kg,130.0,140.0,135.0
Bamboo Shoot,2020-08-03,Kg,110.0,120.0,115.0
Tofu,2020-08-03,Kg,100.0,110.0,105.0
Gundruk,2020-08-03,Kg,290.0,300.0,295.0
Apple(Jholey),2020-08-03,Kg,150.0,160.0,155.0
Apple(Fuji),2020-08-03,KG,290.0,300.0,295.0
Banana,2020-08-03,Doz,90.0,100.0,95.0
Lime,2020-08-03,Kg,140.0,150.0,145.0
Pomegranate,2020-08-03,Kg,150.0,160.0,155.0
Mango(Maldah),2020-08-03,Kg,110.0,120.0,115.0
Water Melon(Green),2020-08-03,Kg,40.0,45.0,42.5
Pineapple,2020-08-03,1 Pc,100.0,110.0,105.0
Cucumber(Local),2020-08-03,Kg,40.0,50.0,45.0
Cucumber(Hybrid),2020-08-03,KG,20.0,30.0,25.0
Jack Fruit,2020-08-03,Kg,35.0,40.0,37.5
Papaya(Indian),2020-08-03,Kg,90.0,100.0,95.0
Ginger,2020-08-03,Kg,130.0,140.0,135.0
Chilli Dry,2020-08-03,Kg,290.0,300.0,295.0
Chilli Green,2020-08-03,Kg,45.0,50.0,47.5
Chilli Green(Bullet),2020-08-03,KG,45.0,50.0,47.5
Chilli Green(Machhe),2020-08-03,KG,80.0,90.0,85.0
Chilli Green(Akbare),2020-08-03,KG,280.0,290.0,285.0
Capsicum,2020-08-03,Kg,110.0,120.0,115.0
Garlic Green,2020-08-03,Kg,120.0,130.0,125.0
Coriander Green,2020-08-03,Kg,340.0,350.0,345.0
Garlic Dry Chinese,2020-08-03,Kg,170.0,180.0,175.0
Garlic Dry Nepali,2020-08-03,Kg,150.0,160.0,155.0
Fish Fresh(Rahu),2020-08-03,KG,325.0,330.0,327.5
Fish Fresh(Bachuwa),2020-08-03,KG,225.0,230.0,227.5
Fish Fresh(Chhadi),2020-08-03,KG,215.0,220.0,217.5
Fish Fresh(Mungari),2020-08-03,KG,225.0,230.0,227.5
Tomato Small(Local),2020-08-04,Kg,40.0,45.0,42.5
Tomato Small(Tunnel),2020-08-04,Kg,55.0,60.0,57.5
Potato Red,2020-08-04,Kg,66.0,68.0,67.0
Potato Red(Indian),2020-08-04,KG,52.0,54.0,53.0
Potato Red(Mude),2020-08-04,Kg,54.0,56.0,55.0
Onion Dry (Indian),2020-08-04,Kg,30.0,32.0,31.0
Carrot(Local),2020-08-04,Kg,60.0,70.0,65.0
Cabbage(Local),2020-08-04,Kg,35.0,40.0,37.5
Cauli Local,2020-08-04,Kg,110.0,120.0,115.0
Raddish White(Local),2020-08-04,Kg,60.0,70.0,65.0
Raddish White(Hybrid),2020-08-04,Kg,60.0,70.0,65.0
Brinjal Long,2020-08-04,Kg,60.0,70.0,65.0
Cow pea(Long),2020-08-04,Kg,90.0,100.0,95.0
French Bean(Local),2020-08-04,Kg,110.0,120.0,115.0
French Bean(Hybrid),2020-08-04,Kg,110.0,120.0,115.0
Soyabean Green,2020-08-04,Kg,60.0,70.0,65.0
Bitter Gourd,2020-08-04,Kg,40.0,50.0,45.0
Pointed Gourd(Local),2020-08-04,Kg,110.0,120.0,115.0
Snake Gourd,2020-08-04,Kg,50.0,60.0,55.0
Smooth Gourd,2020-08-04,Kg,50.0,60.0,55.0
Sponge Gourd,2020-08-04,Kg,50.0,60.0,55.0
Pumpkin,2020-08-04,Kg,40.0,45.0,42.5
Squash(Round),2020-08-04,Kg,60.0,70.0,65.0
Okara,2020-08-04,Kg,60.0,70.0,65.0
Christophine,2020-08-04,Kg,50.0,60.0,55.0
Brd Leaf Mustard,2020-08-04,Kg,90.0,100.0,95.0
Spinach Leaf,2020-08-04,Kg,90.0,100.0,95.0
Cress Leaf,2020-08-04,Kg,90.0,100.0,95.0
Onion Green,2020-08-04,Kg,190.0,200.0,195.0
Mushroom(Kanya),2020-08-04,Kg,190.0,200.0,195.0
Mushroom(Button),2020-08-04,KG,440.0,450.0,445.0
Asparagus,2020-08-04,Kg,490.0,500.0,495.0
Neuro,2020-08-04,Kg,100.0,110.0,105.0
Lettuce,2020-08-04,Kg,90.0,100.0,95.0
Mint,2020-08-04,Kg,120.0,130.0,125.0
Turnip A,2020-08-04,Kg,90.0,100.0,95.0
Tamarind,2020-08-04,Kg,130.0,140.0,135.0
Bamboo Shoot,2020-08-04,Kg,110.0,120.0,115.0
Tofu,2020-08-04,Kg,110.0,120.0,115.0
Gundruk,2020-08-04,Kg,290.0,300.0,295.0
Apple(Jholey),2020-08-04,Kg,150.0,160.0,155.0
Apple(Fuji),2020-08-04,KG,290.0,300.0,295.0
Banana,2020-08-04,Doz,90.0,100.0,95.0
Lime,2020-08-04,Kg,140.0,150.0,145.0
Pomegranate,2020-08-04,Kg,160.0,170.0,165.0
Mango(Maldah),2020-08-04,Kg,110.0,120.0,115.0
Water Melon(Green),2020-08-04,Kg,40.0,45.0,42.5
Pineapple,2020-08-04,1 Pc,100.0,110.0,105.0
Cucumber(Local),2020-08-04,Kg,40.0,50.0,45.0
Cucumber(Hybrid),2020-08-04,KG,20.0,25.0,22.5
Jack Fruit,2020-08-04,Kg,35.0,40.0,37.5
Pear(Local),2020-08-04,Kg,30.0,40.0,35.0
Papaya(Indian),2020-08-04,Kg,70.0,80.0,75.0
Ginger,2020-08-04,Kg,130.0,140.0,135.0
Chilli Dry,2020-08-04,Kg,290.0,300.0,295.0
Chilli Green,2020-08-04,Kg,80.0,90.0,85.0
Chilli Green(Bullet),2020-08-04,KG,80.0,90.0,85.0
Chilli Green(Machhe),2020-08-04,KG,80.0,90.0,85.0
Chilli Green(Akbare),2020-08-04,KG,240.0,250.0,245.0
Capsicum,2020-08-04,Kg,110.0,120.0,115.0
Garlic Green,2020-08-04,Kg,130.0,140.0,135.0
Coriander Green,2020-08-04,Kg,300.0,320.0,310.0
Garlic Dry Chinese,2020-08-04,Kg,170.0,180.0,175.0
Garlic Dry Nepali,2020-08-04,Kg,140.0,150.0,145.0
Fish Fresh(Rahu),2020-08-04,KG,325.0,330.0,327.5
Fish Fresh(Bachuwa),2020-08-04,KG,225.0,230.0,227.5
Fish Fresh(Chhadi),2020-08-04,KG,215.0,220.0,217.5
Fish Fresh(Mungari),2020-08-04,KG,225.0,230.0,227.5
Tomato Small(Local),2020-08-05,Kg,40.0,45.0,42.5
Tomato Small(Tunnel),2020-08-05,Kg,50.0,60.0,55.0
Potato Red,2020-08-05,Kg,66.0,68.0,67.0
Potato Red(Indian),2020-08-05,KG,51.0,53.0,52.0
Potato Red(Mude),2020-08-05,Kg,54.0,56.0,55.0
Onion Dry (Indian),2020-08-05,Kg,30.0,32.0,31.0
Carrot(Local),2020-08-05,Kg,60.0,70.0,65.0
Cabbage(Local),2020-08-05,Kg,30.0,35.0,32.5
Cauli Local,2020-08-05,Kg,110.0,120.0,115.0
Raddish White(Local),2020-08-05,Kg,50.0,60.0,55.0
Raddish White(Hybrid),2020-08-05,Kg,50.0,60.0,55.0
Brinjal Long,2020-08-05,Kg,60.0,70.0,65.0
Cow pea(Long),2020-08-05,Kg,90.0,100.0,95.0
French Bean(Local),2020-08-05,Kg,110.0,120.0,115.0
French Bean(Hybrid),2020-08-05,Kg,110.0,120.0,115.0
Soyabean Green,2020-08-05,Kg,70.0,80.0,75.0
Bitter Gourd,2020-08-05,Kg,40.0,50.0,45.0
Bottle Gourd,2020-08-05,Kg,50.0,60.0,55.0
Pointed Gourd(Local),2020-08-05,Kg,95.0,100.0,97.5
Snake Gourd,2020-08-05,Kg,45.0,50.0,47.5
Smooth Gourd,2020-08-05,Kg,50.0,60.0,55.0
Sponge Gourd,2020-08-05,Kg,45.0,50.0,47.5
Pumpkin,2020-08-05,Kg,40.0,45.0,42.5
Squash(Round),2020-08-05,Kg,60.0,70.0,65.0
Okara,2020-08-05,Kg,60.0,70.0,65.0
Christophine,2020-08-05,Kg,60.0,70.0,65.0
Brd Leaf Mustard,2020-08-05,Kg,90.0,100.0,95.0
Spinach Leaf,2020-08-05,Kg,90.0,100.0,95.0
Cress Leaf,2020-08-05,Kg,90.0,100.0,95.0
Onion Green,2020-08-05,Kg,190.0,200.0,195.0
Mushroom(Kanya),2020-08-05,Kg,190.0,200.0,195.0
Mushroom(Button),2020-08-05,KG,440.0,450.0,445.0
Asparagus,2020-08-05,Kg,490.0,500.0,495.0
Neuro,2020-08-05,Kg,100.0,110.0,105.0
Lettuce,2020-08-05,Kg,90.0,100.0,95.0
Mint,2020-08-05,Kg,120.0,130.0,125.0
Turnip A,2020-08-05,Kg,90.0,100.0,95.0
Tamarind,2020-08-05,Kg,130.0,140.0,135.0
